model_id,family,task,engine,license_status,default_safe,install_extra,registry_status,execution_status,final_state,blocker_code,blocker_category,evidence_artifact,evidence_source,run_mode,should_be_called_in_notebook,called_in_notebook,notebook_call_count,notebook_paths,notebook_call_types,notebook_execution_status,notebook_evidence_artifacts,output_artifact_exists,current_run_id,stale_from_previous_run,missing_from_notebook_reason,exact_exception_type,attempted_command,sidecar_name,sidecar_python_version,sidecar_torch_version,cuda_required,cuda_observed,manual_fix_command,evidence_source_kind,called_in_current_notebook_run,current_run_call_count,current_run_artifact_exists,historical_artifact_used_as_fallback
rfdetr-nano,rfdetr,detect,,Apache-2.0,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,01_object_detection/Object_Detection_Benchmark.ipynb,smoke,executed,01_object_detection/reports/20260519T171956Z_rfdetr-nano_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rfdetr-seg-2xlarge,rfdetr_seg,segment,,PML-1.0,False,,non_core_license_optional,opt_in_license_required,opt_in_license_required,OPT_IN_LICENSE_REQUIRED,external,reports/v237_rfdetr_seg_license_audit.json,correction,blocked,True,True,2,02_automatic_segmentation/Automatic_Segmentation_Benchmark.ipynb,license_gate|skipped_with_reason,executed|skipped_license_opt_in,02_automatic_segmentation/reports/20260519T171956Z_rfdetr-seg-2xlarge_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rfdetr-seg-large,rfdetr,segment,,PML 1.0 (Plus/XL/2XL); core sizes Apache-2.0,False,,non_core_license_optional,benchmark_passed,benchmark_passed,,unclassified,reports/v238_rfdetr_seg_large_benchmark.json,correction,benchmark,True,True,2,02_automatic_segmentation/Automatic_Segmentation_Benchmark.ipynb,benchmark|smoke,executed,02_automatic_segmentation/reports/20260519T171956Z_rfdetr-seg-large_current_run.json|reports/v238_rfdetr_seg_large_benchmark.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rfdetr-seg-medium,rfdetr,segment,,Apache-2.0,True,,wired,benchmark_passed,benchmark_passed,,unclassified,02_automatic_segmentation/reports/segmentation_leaderboard.json,notebook/02_automatic_segmentation/reports/segmentation_leaderboard.json,benchmark,True,True,2,02_automatic_segmentation/Automatic_Segmentation_Benchmark.ipynb,smoke|status,executed|executed_blocked,02_automatic_segmentation/reports/20260519T171956Z_rfdetr-seg-medium_current_run.json|02_automatic_segmentation/reports/segmentation_leaderboard.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rfdetr-seg-nano,rfdetr_seg,segment,,Apache-2.0,True,,wired,benchmark_passed,benchmark_passed,,unclassified,02_automatic_segmentation/reports/segmentation_leaderboard.json,notebook/02_automatic_segmentation/reports/segmentation_leaderboard.json,benchmark,True,True,2,02_automatic_segmentation/Automatic_Segmentation_Benchmark.ipynb,smoke|status,executed|executed_blocked,02_automatic_segmentation/reports/20260519T171956Z_rfdetr-seg-nano_current_run.json|02_automatic_segmentation/reports/segmentation_leaderboard.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rfdetr-seg-small,rfdetr_seg,segment,,Apache-2.0,True,,wired,benchmark_passed,benchmark_passed,,unclassified,02_automatic_segmentation/reports/segmentation_leaderboard.json,notebook/02_automatic_segmentation/reports/segmentation_leaderboard.json,benchmark,True,True,2,02_automatic_segmentation/Automatic_Segmentation_Benchmark.ipynb,smoke|status,executed|executed_blocked,02_automatic_segmentation/reports/20260519T171956Z_rfdetr-seg-small_current_run.json|02_automatic_segmentation/reports/segmentation_leaderboard.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rfdetr-seg-xlarge,rfdetr_seg,segment,,PML-1.0,False,,non_core_license_optional,opt_in_license_required,opt_in_license_required,OPT_IN_LICENSE_REQUIRED,external,reports/v237_rfdetr_seg_license_audit.json,correction,blocked,True,True,2,02_automatic_segmentation/Automatic_Segmentation_Benchmark.ipynb,license_gate|skipped_with_reason,executed|skipped_license_opt_in,02_automatic_segmentation/reports/20260519T171956Z_rfdetr-seg-xlarge_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rfdetr-small,rfdetr,detect,,Apache-2.0,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,01_object_detection/Object_Detection_Benchmark.ipynb,smoke,executed,01_object_detection/reports/20260519T171956Z_rfdetr-small_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rtdetrv4-l,rtdetrv4,detect,,Apache-2.0,True,,sidecar_required,checkpoint_downloaded,checkpoint_downloaded,CHECKPOINT_DOWNLOADED,checkpoint,reports/v238_rtdetrv4_l_pull.json,correction,checkpoint_only,True,True,2,01_object_detection/Object_Detection_Benchmark.ipynb,checkpoint_state|skipped_with_reason,executed|skipped_manual_checkpoint,01_object_detection/reports/20260519T171956Z_rtdetrv4-l_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rtdetrv4-m,rtdetrv4,detect,,Apache-2.0,True,,sidecar_required,checkpoint_downloaded,checkpoint_downloaded,CHECKPOINT_DOWNLOADED,checkpoint,reports/v238_rtdetrv4_m_pull.json,correction,checkpoint_only,True,True,2,01_object_detection/Object_Detection_Benchmark.ipynb,checkpoint_state|skipped_with_reason,executed|skipped_manual_checkpoint,01_object_detection/reports/20260519T171956Z_rtdetrv4-m_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rtdetrv4-s,rtdetrv4,detect,,Apache-2.0,True,,sidecar_required,checkpoint_downloaded,checkpoint_downloaded,CHECKPOINT_DOWNLOADED,checkpoint,reports/v238_rtdetrv4_s_pull.json,correction,checkpoint_only,True,True,2,01_object_detection/Object_Detection_Benchmark.ipynb,checkpoint_state|skipped_with_reason,executed|skipped_manual_checkpoint,01_object_detection/reports/20260519T171956Z_rtdetrv4-s_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rtdetrv4-x,rtdetrv4,detect,,Apache-2.0,True,,sidecar_required,checkpoint_downloaded,checkpoint_downloaded,CHECKPOINT_DOWNLOADED,checkpoint,reports/v238_rtdetrv4_x_pull.json,correction,checkpoint_only,True,True,2,01_object_detection/Object_Detection_Benchmark.ipynb,checkpoint_state|skipped_with_reason,executed|skipped_manual_checkpoint,01_object_detection/reports/20260519T171956Z_rtdetrv4-x_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
