model_id,family,task,command,final_state,blocker_code,fix,output_json_path,draw_path,runtime_ms,schema_valid,package_bug,external_blocker,evidence_file
sam-vit-base,sam,foundation_segment,"/home/arash/miniconda3/bin/python -m visionservex predict sam-vit-base /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --box 50,50,200,200 --json --save-json /tmp/vsx_smoke_sam-vit-base.json",smoke_passed,,,/tmp/vsx_smoke_sam-vit-base.json,,4795.248623995576,True,False,False,/tmp/vsx_smoke_sam-vit-base.json
sam-vit-huge,sam,foundation_segment,"/home/arash/miniconda3/bin/python -m visionservex predict sam-vit-huge /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --box 50,50,200,200 --json --save-json /tmp/vsx_smoke_sam-vit-huge.json",smoke_passed,,,/tmp/vsx_smoke_sam-vit-huge.json,,5294.646082998952,True,False,False,/tmp/vsx_smoke_sam-vit-huge.json
sam-vit-large,sam,foundation_segment,"/home/arash/miniconda3/bin/python -m visionservex predict sam-vit-large /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --box 50,50,200,200 --json --save-json /tmp/vsx_smoke_sam-vit-large.json",smoke_passed,,,/tmp/vsx_smoke_sam-vit-large.json,,4884.833742005867,True,False,False,/tmp/vsx_smoke_sam-vit-large.json
sam2-hiera-base-plus,sam2,foundation_segment,"/home/arash/miniconda3/bin/python -m visionservex predict sam2-hiera-base-plus /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --box 50,50,200,200 --json --save-json /tmp/vsx_smoke_sam2-hiera-base-plus.json",smoke_passed,,,/tmp/vsx_smoke_sam2-hiera-base-plus.json,,4892.213622006238,True,False,False,/tmp/vsx_smoke_sam2-hiera-base-plus.json
sam2-hiera-large,sam2,foundation_segment,"/home/arash/miniconda3/bin/python -m visionservex predict sam2-hiera-large /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --box 50,50,200,200 --json --save-json /tmp/vsx_smoke_sam2-hiera-large.json",smoke_passed,,,/tmp/vsx_smoke_sam2-hiera-large.json,,5016.9622319954215,True,False,False,/tmp/vsx_smoke_sam2-hiera-large.json
sam2-hiera-small,sam2,foundation_segment,"/home/arash/miniconda3/bin/python -m visionservex predict sam2-hiera-small /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --box 50,50,200,200 --json --save-json /tmp/vsx_smoke_sam2-hiera-small.json",smoke_passed,,,/tmp/vsx_smoke_sam2-hiera-small.json,,5017.562569002621,True,False,False,/tmp/vsx_smoke_sam2-hiera-small.json
sam2-hiera-tiny,sam2,foundation_segment,"/home/arash/miniconda3/bin/python -m visionservex predict sam2-hiera-tiny /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --box 50,50,200,200 --json --save-json /tmp/vsx_smoke_sam2-hiera-tiny.json",smoke_passed,,,/tmp/vsx_smoke_sam2-hiera-tiny.json,,4950.085942997248,True,False,False,/tmp/vsx_smoke_sam2-hiera-tiny.json
sam2.1-hiera-base-plus,sam2.1,foundation_segment,"/home/arash/miniconda3/bin/python -m visionservex predict sam2.1-hiera-base-plus /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --box 50,50,200,200 --json --save-json /tmp/vsx_smoke_sam2_1-hiera-base-plus.json",smoke_passed,,,/tmp/vsx_smoke_sam2_1-hiera-base-plus.json,,4952.9880919872085,True,False,False,/tmp/vsx_smoke_sam2_1-hiera-base-plus.json
sam2.1-hiera-large,sam2.1,foundation_segment,"/home/arash/miniconda3/bin/python -m visionservex predict sam2.1-hiera-large /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --box 50,50,200,200 --json --save-json /tmp/vsx_smoke_sam2_1-hiera-large.json",smoke_passed,,,/tmp/vsx_smoke_sam2_1-hiera-large.json,,5042.68017000868,True,False,False,/tmp/vsx_smoke_sam2_1-hiera-large.json
sam2.1-hiera-small,sam2.1,foundation_segment,"/home/arash/miniconda3/bin/python -m visionservex predict sam2.1-hiera-small /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --box 50,50,200,200 --json --save-json /tmp/vsx_smoke_sam2_1-hiera-small.json",smoke_passed,,,/tmp/vsx_smoke_sam2_1-hiera-small.json,,4954.891835994204,True,False,False,/tmp/vsx_smoke_sam2_1-hiera-small.json
sam2.1-hiera-tiny,sam2.1,foundation_segment,"/home/arash/miniconda3/bin/python -m visionservex predict sam2.1-hiera-tiny /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --box 50,50,200,200 --json --save-json /tmp/vsx_smoke_sam2_1-hiera-tiny.json",smoke_passed,,,/tmp/vsx_smoke_sam2_1-hiera-tiny.json,,4796.643630004837,True,False,False,/tmp/vsx_smoke_sam2_1-hiera-tiny.json
grounded-sam,grounded-sam,grounded_segment,/home/arash/miniconda3/bin/python -m visionservex predict grounded-sam /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --prompt person --json --save-json /tmp/vsx_smoke_grounded-sam.json,smoke_passed,,,/tmp/vsx_smoke_grounded-sam.json,,7472.620560001815,True,False,False,/tmp/vsx_smoke_grounded-sam.json
grounded-sam2,grounded-sam,grounded_segment,/home/arash/miniconda3/bin/python -m visionservex predict grounded-sam2 /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_instance_sample.jpg --device cuda --prompt person --json --save-json /tmp/vsx_smoke_grounded-sam2.json,smoke_passed,,,/tmp/vsx_smoke_grounded-sam2.json,,7378.178143990226,True,False,False,/tmp/vsx_smoke_grounded-sam2.json
grounding-dino-swin-b,grounding-dino,open_vocab_detect,"/home/arash/miniconda3/bin/python -m visionservex predict grounding-dino-swin-b /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --prompt person,car --json --save-json /tmp/vsx_smoke_grounding-dino-swin-b.json",smoke_passed,,,/tmp/vsx_smoke_grounding-dino-swin-b.json,,5940.803960998892,True,False,False,/tmp/vsx_smoke_grounding-dino-swin-b.json
